Date,ID,Days until next hedge,S,Dividend,C_BS,D_BS,C_mkt,D_Blm,R,TTM,Moneyness,D_Optimal,Target
2024-10-10,9,1,5780.05,1.3278,89.73254141,0.40909121,113.35,0.436,4.7853,71,-119.95,0.284740791,-0.124350419
2024-09-20,10,1,5702.55,1.3484,47.8534988,0.245168028,29.4,0.261,4.66994,91,-297.45,0.018976837,-0.226191191
2024-11-01,8,3,5728.8,1.3364,114.2570311,0.458667798,116.85,0.465,4.75678,49,-71.2,0.693056437,0.234388639
2024-10-16,5,1,5842.47,1.3144,130.5721523,0.385774356,137.2,0.404,4.76916,156,-257.53,2.478615438,2.092841083
2024-09-19,9,1,5713.64,1.3462,77.32124499,0.352928887,95,0.385,4.7078,92,-186.36,0.765465139,0.412536253
2024-09-12,10,1,5595.76,1.3736,31.51901673,0.173268638,18.85,0.185,4.84198,99,-404.24,0.11647921,-0.056789428
2024-11-29,7,3,6032.38,1.2809,350.5911822,0.93360708,358.4,0.937,4.79975,21,332.38,0.67216698,-0.261440101
2024-10-01,6,1,5708.75,1.3433,59.24107977,0.222756362,63.5,0.239,4.60149,171,-491.25,1.983178672,1.760422309
2024-10-02,9,1,5709.54,1.3455,66.33465928,0.329343604,91.35,0.369,4.59496,79,-190.46,0.6778719,0.348528296
2024-11-01,3,3,5728.8,1.3364,165.1969815,0.444543357,171.7,0.46,4.75678,140,-171.2,0.609411694,0.164868337
2024-11-27,8,2,5998.74,1.2879,228.9439377,0.843854079,232.1,0.851,4.72437,23,198.74,0.928816503,0.084962424
2024-09-13,7,1,5626.02,1.3662,154.266922,0.492489911,162.9,0.507,4.83545,98,-73.98,0.656057334,0.163567423
2024-08-16,11,3,5554.25,1.3829,18.83855571,0.110869447,21.6,0.123,4.99486,126,-545.75,0.088076692,-0.022792755
2024-08-15,3,1,5543.22,1.3858,115.955476,0.347041251,127.45,0.368,5.00198,218,-356.78,0.582302167,0.235260916
2024-09-24,5,1,5732.93,1.336,91.0314507,0.305969519,98,0.321,4.61941,178,-367.07,0.165449592,-0.140519926
2024-09-10,2,1,5495.52,1.3981,133.6511432,0.374294657,145.1,0.394,4.83428,192,-304.48,0.376730017,0.00243536
2024-09-10,1,1,5495.52,1.3981,180.8893803,0.446684468,193.9,0.465,4.83428,192,-204.48,0.451219815,0.004535348
2024-08-26,3,1,5616.84,1.3683,139.2993566,0.393479535,150.55,0.412,4.93872,207,-283.16,0.400040881,0.006561346
2024-09-12,5,1,5595.76,1.3736,60.48889076,0.225593433,67.35,0.242,4.84198,190,-504.24,0.27289415,0.047300716
2024-10-29,3,1,5832.92,1.3131,215.5910612,0.524554883,230.05,0.549,4.76552,143,-67.08,0.768276304,0.24372142
2024-11-18,3,1,5893.62,1.3109,218.7774199,0.565802109,232.4,0.592,4.76812,123,-6.38,0.658818587,0.093016478
2024-11-26,12,1,6021.63,1.2827,9.857885286,0.135312683,10.95,0.146,4.73591,24,-178.37,0.199127244,0.063814561
2024-09-19,8,1,5713.64,1.3462,135.1894943,0.473051722,144.1,0.492,4.7078,92,-86.36,0.889355451,0.416303729
2024-11-19,6,1,5916.98,1.3054,82.32487426,0.31830248,88.2,0.34,4.7679,122,-283.02,-14.09002788,-14.40833036
2024-08-16,3,3,5554.25,1.3829,120.6644048,0.355279015,133.75,0.378,4.99486,217,-345.75,0.309205407,-0.046073608
2024-08-06,6,1,5240.03,1.4665,18.09979,0.078929207,19.95,0.087,4.95203,227,-959.97,0.029455875,-0.049473332
2024-08-12,6,1,5344.39,1.4375,18.61274635,0.086489692,22.2,0.099,4.96403,221,-855.61,0.086834569,0.000344877
2024-10-25,6,3,5808.12,1.3187,72.5371473,0.269011913,75.6,0.281,4.77618,147,-391.88,0.29792446,0.028912548
2024-09-23,4,3,5718.57,1.3397,124.9738379,0.373774999,132.15,0.39,4.64276,179,-281.43,0.451606421,0.077831422
2024-11-13,2,1,5985.38,1.2904,356.6421434,0.701330188,378.1,0.726,4.73383,128,185.38,0.969239155,0.267908967
2024-10-29,8,1,5832.92,1.3131,169.6484003,0.581373566,179.85,0.599,4.76552,52,32.92,0.8787642,0.297390635
2024-10-22,6,1,5851.2,1.3109,82.33630042,0.298325933,86.7,0.315,4.7952,150,-348.8,0.225049132,-0.073276802
2024-09-05,11,1,5503.41,1.3961,11.22216272,0.074227029,13.35,0.085,4.88116,106,-596.59,0.049896601,-0.024330427
2024-10-30,8,1,5813.67,1.3177,160.5047951,0.558500956,162.75,0.578,4.78509,51,13.67,0.484201337,-0.07429962
2024-08-08,1,1,5319.31,1.445,139.5576185,0.357376178,153.75,0.38,4.9504,225,-380.69,-0.33281336,-0.690189538
2024-08-13,3,1,5434.43,1.4134,85.94970057,0.277604793,94.6,0.296,4.93515,220,-465.57,0.094803963,-0.18280083
2024-11-07,4,1,5973.1,1.2938,215.2952792,0.553763053,228.55,0.574,4.74561,134,-26.9,0.506130195,-0.047632859
